Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,20,10,2,4090,5,63.958704117,0.527228403,64.739689594,114630
True,True,20,10,3,4087,8,64.10522986,0.478224832,64.849053736,114594
True,True,20,10,4,4080,15,87.384936274,0.50961028,88.118135545,114496
True,True,20,10,5,4080,15,78.92912768,0.485994899,79.650066576,114496
True,True,20,10,6,4080,15,61.272005515,0.47754825,61.963217899,114496
True,True,20,10,7,4080,15,78.70871942,0.492684809,79.414757693,114496
True,True,20,10,8,4080,15,78.652041351,0.676417623,79.60683585,114496
True,True,20,10,9,4080,15,79.548646201,0.6321823,80.491505086,114496
True,True,20,10,10,4080,15,81.392792539,0.632868927,82.304506171,114496
True,False,20,10,2,4095,0,79.572145149,1.81935e-4,79.579604585,114683
True,False,20,10,3,4095,0,80.219632563,1.49774e-4,80.223259229,114683
True,False,20,10,4,4095,0,87.995686323,2.2833e-4,88.009258094,114683
True,False,20,10,5,4095,0,82.995073362,1.86211e-4,83.000203281,114683
True,False,20,10,6,4095,0,82.940365792,1.70816e-4,82.943628068,114683
True,False,20,10,7,4095,0,90.019443686,2.13335e-4,90.023441395,114683
True,False,20,10,8,4095,0,93.157148971,4.8273e-4,93.166851154,114683
True,False,20,10,9,4095,0,92.498202443,1.50672e-4,92.501402128,114683
True,False,20,10,10,4095,0,94.25888312,2.90628e-4,94.263027909,114683
