Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,20,15,2,4089,6,71.446099661,1.019398864,73.515266227,114614
True,True,20,15,3,4086,9,73.590435257,1.168279054,75.989072166,114578
True,True,20,15,4,4079,16,73.762561032,1.188645027,76.215427291,114480
True,True,20,15,5,4064,31,72.820171521,1.2220710989999999,75.242686525,114240
True,True,20,15,6,4064,31,63.45401274,1.181460787,65.818413655,114240
True,True,20,15,7,4064,31,67.74702624,1.011385947,69.77381406,114240
True,True,20,15,8,4064,31,73.196804935,1.150359041,75.543701665,114240
True,True,20,15,9,4064,31,77.095860967,1.174260098,79.497835085,114240
True,True,20,15,10,4064,31,72.850695151,1.236636105,75.316331939,114240
True,False,20,15,2,4095,0,65.645949583,1.51773e-4,65.649573147,114683
True,False,20,15,3,4095,0,76.333794025,2.20425e-4,76.338721984,114683
True,False,20,15,4,4095,0,73.646933549,3.08795e-4,73.651998161,114683
True,False,20,15,5,4095,0,78.836229653,2.33237e-4,78.840583707,114683
True,False,20,15,6,4095,0,76.678638204,3.2174e-4,76.683275913,114683
True,False,20,15,7,4095,0,79.976869285,1.844e-4,79.98114561,114683
True,False,20,15,8,4095,0,73.667975545,2.90465e-4,73.673002988,114683
True,False,20,15,9,4095,0,75.565196105,1.52203e-4,75.568047262,114683
True,False,20,15,10,4095,0,74.047306883,1.50385e-4,74.05084066,114683
