Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,10,10,2,122,5,1.907663441,0.507260203,2.666327772,2246
True,True,10,10,3,119,8,1.836239676,0.496227917,2.5669172099999997,2210
True,True,10,10,4,112,15,1.7233994830000001,0.500533697,2.446563066,2112
True,True,10,10,5,112,15,1.705445311,0.48768185,2.431349672,2112
True,True,10,10,6,112,15,1.9987777329999998,0.511006324,2.74137988,2112
True,True,10,10,7,112,15,2.425028439,0.840619986,3.52949613,2112
True,True,10,10,8,112,15,2.000470438,0.646293086,3.011641184,2112
True,True,10,10,9,112,15,2.051587647,0.756400232,3.284117369,2112
True,True,10,10,10,112,15,1.974154967,0.626455454,2.906848029,2112
True,False,10,10,2,127,0,2.695030605,9.9945e-5,2.697451133,2299
True,False,10,10,3,127,0,2.539453548,1.13575e-4,2.549433025,2299
True,False,10,10,4,127,0,2.44667194,1.60801e-4,2.456252614,2299
True,False,10,10,5,127,0,2.117139879,9.6264e-5,2.130828481,2299
True,False,10,10,6,127,0,2.245612596,9.9784e-5,2.258639334,2299
True,False,10,10,7,127,0,2.623923939,1.01809e-4,2.640346578,2299
True,False,10,10,8,127,0,2.449338769,1.05477e-4,2.46703831,2299
True,False,10,10,9,127,0,2.793467825,1.13881e-4,2.798213835,2299
True,False,10,10,10,127,0,3.051175062,1.14311e-4,3.067522556,2299
