Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,20,5,2,124,3,1.902119952,9.9510355e-2,2.10336138,2272
True,True,20,5,3,124,3,1.971143819,0.127352499,2.2041822460000002,2272
True,True,20,5,4,124,3,1.849926672,8.3211686e-2,2.028263367,2272
True,True,20,5,5,124,3,1.8278545099999999,8.2807815e-2,2.001899147,2272
True,True,20,5,6,124,3,1.802867797,8.2509597e-2,2.002147752,2272
True,True,20,5,7,124,3,1.83594334,9.7054474e-2,2.028802909,2272
True,True,20,5,8,124,3,1.827511086,9.5867722e-2,2.008375962,2272
True,True,20,5,9,124,3,1.8221378019999999,8.2306793e-2,1.99841096,2272
True,True,20,5,10,124,3,1.8514929599999999,8.2716006e-2,2.030104739,2272
True,False,20,5,2,127,0,1.82612375,1.06548e-4,1.839492485,2299
True,False,20,5,3,127,0,1.8605496929999998,1.03238e-4,1.868278779,2299
True,False,20,5,4,127,0,5.544789157,1.04559e-4,5.550590057,2299
True,False,20,5,5,127,0,4.714915403,1.32819e-4,4.7253229789999995,2299
True,False,20,5,6,127,0,3.860714942,9.8676e-5,3.861415262,2299
True,False,20,5,7,127,0,3.934247126,1.04637e-4,3.950594273,2299
True,False,20,5,8,127,0,2.478935478,1.20728e-4,2.481734498,2299
True,False,20,5,9,127,0,2.22249975,1.10289e-4,2.23021315,2299
True,False,20,5,10,127,0,2.6587397409999998,1.16921e-4,2.666052096,2299
