Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,20,10,2,122,5,1.931212631,0.51177436,2.690423868,2246
True,True,20,10,3,119,8,1.808896109,0.508921002,2.545508045,2210
True,True,20,10,4,112,15,1.730570715,0.500598823,2.460464496,2112
True,True,20,10,5,112,15,1.709021237,0.522301255,2.452511788,2112
True,True,20,10,6,112,15,1.740360832,0.50208564,2.470509731,2112
True,True,20,10,7,112,15,1.7128881009999999,0.502125721,2.4472130610000002,2112
True,True,20,10,8,112,15,1.714601254,0.478796881,2.433545293,2112
True,True,20,10,9,112,15,1.731501094,0.484973779,2.453872004,2112
True,True,20,10,10,112,15,1.732334816,0.490760261,2.457357847,2112
True,False,20,10,2,127,0,1.930011548,1.55641e-4,1.938057219,2299
True,False,20,10,3,127,0,1.940980507,9.3777e-5,1.9418308290000001,2299
True,False,20,10,4,127,0,1.9794046010000002,1.0501e-4,1.998323741,2299
True,False,20,10,5,127,0,2.000373337,9.5664e-5,2.001203868,2299
True,False,20,10,6,127,0,1.942868583,9.4541e-5,1.947136549,2299
True,False,20,10,7,127,0,1.9280092770000001,1.0614e-4,1.9431776429999998,2299
True,False,20,10,8,127,0,1.928638611,9.5997e-5,1.937815922,2299
True,False,20,10,9,127,0,1.98303583,9.5734e-5,1.985456184,2299
True,False,20,10,10,127,0,1.950938786,9.5079e-5,1.956974005,2299
