Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,10,5,2,2044,3,31.592475742,0.124094107,31.810233938,53216
True,True,10,5,3,2044,3,31.394595092,9.8304574e-2,31.584042719,53216
True,True,10,5,4,2044,3,31.257315926,0.10279103,31.44853994,53216
True,True,10,5,5,2044,3,31.337019288,8.8234389e-2,31.520785349,53216
True,True,10,5,6,2044,3,31.188321509,9.1568732e-2,31.381347298,53216
True,True,10,5,7,2044,3,31.19759055,8.5822235e-2,31.370668348,53216
True,True,10,5,8,2044,3,30.937969226,8.6680386e-2,31.111170457,53216
True,True,10,5,9,2044,3,32.219623886,8.4653664e-2,32.39717611,53216
True,True,10,5,10,2044,3,31.000384373,9.9741398e-2,31.186707198,53216
True,False,10,5,2,4095,0,62.717410066,1.51449e-4,62.735162168,114683
True,False,10,5,3,4095,0,61.632177575,1.78344e-4,61.635887764,114683
True,False,10,5,4,4095,0,61.895022807,1.50524e-4,61.898004907,114683
True,False,10,5,5,4095,0,61.664646804,1.70706e-4,61.667224304,114683
True,False,10,5,6,4095,0,61.728775127,2.12082e-4,61.732622303,114683
True,False,10,5,7,4095,0,62.176840248,1.51951e-4,62.180228884,114683
True,False,10,5,8,4095,0,62.240350582,1.56359e-4,62.24298648,114683
True,False,10,5,9,4095,0,61.811360605,2.33306e-4,61.819573933,114683
True,False,10,5,10,4095,0,61.806497759,1.56707e-4,61.809767032,114683
