Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,10,10,2,2042,5,38.546829136,0.997431048,39.894602659,53190
True,True,10,10,3,2039,8,38.320496102999996,0.897636795,39.61355451,53154
True,True,10,10,4,2032,15,32.902593237,0.490057592,33.616087221,53056
True,True,10,10,5,2032,15,31.141127137,0.483540008,31.850703475,53056
True,True,10,10,6,2032,15,31.013663275,0.500851933,31.739279806,53056
True,True,10,10,7,2032,15,30.953568665,0.487624816,31.673632163,53056
True,True,10,10,8,2032,15,31.006723134,0.49179179,31.718075504,53056
True,True,10,10,9,2032,15,30.990488853,0.506222223,31.713178058,53056
True,True,10,10,10,2032,15,30.848850125,0.470521065,31.558263536,53056
True,False,10,10,2,4095,0,83.339091195,4.02251e-4,83.341923579,114683
True,False,10,10,3,4095,0,89.968171018,2.48814e-4,89.971931139,114683
True,False,10,10,4,4095,0,86.078088188,1.8316e-4,86.081580769,114683
True,False,10,10,5,4095,0,73.671191997,1.81046e-4,73.677231081,114683
True,False,10,10,6,4095,0,63.373586517,1.71006e-4,63.382691975,114683
True,False,10,10,7,4095,0,63.783299861,1.53898e-4,63.787097572,114683
True,False,10,10,8,4095,0,63.100077456,1.49469e-4,63.103141128,114683
True,False,10,10,9,4095,0,63.04958458,1.51554e-4,63.052073903,114683
True,False,10,10,10,4095,0,64.410402384,1.52267e-4,64.41384242,114683
