Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,20,15,2,121,6,2.278234163,1.225880133,4.680886997,2230
True,True,20,15,3,118,9,2.355782447,1.327836235,5.042365251,2194
True,True,20,15,4,111,16,3.9524115760000003,1.859469448,7.89253675,2096
True,True,20,15,5,96,31,1.860778976,1.252738874,4.3391484479999995,1856
True,True,20,15,6,96,31,1.7214099969999999,1.3446602269999999,4.296426424,1856
True,True,20,15,7,96,31,1.826250282,1.195735312,4.326799108,1856
True,True,20,15,8,96,31,1.8159929259999998,1.299262269,4.41745027,1856
True,True,20,15,9,96,31,2.150294309,1.37896495,4.888373595,1856
True,True,20,15,10,96,31,2.591062559,1.630057839,5.63804671,1856
True,False,20,15,2,127,0,3.436829677,2.36814e-4,3.438406283,2299
True,False,20,15,3,127,0,2.5910528250000002,1.38085e-4,2.594731078,2299
True,False,20,15,4,127,0,2.153989633,1.07869e-4,2.1726414370000002,2299
True,False,20,15,5,127,0,2.25204855,1.48572e-4,2.258038812,2299
True,False,20,15,6,127,0,2.178079662,2.2513e-4,2.179603677,2299
True,False,20,15,7,127,0,2.292847894,2.37835e-4,2.314357064,2299
True,False,20,15,8,127,0,2.375146386,1.00679e-4,2.384697331,2299
True,False,20,15,9,127,0,2.047982254,9.5599e-5,2.048727431,2299
True,False,20,15,10,127,0,1.886493121,1.02128e-4,1.891132024,2299
