Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,10,15,2,2041,6,36.637385121,1.252649259,39.176303645,53174
True,True,10,15,3,2038,9,36.183720762,1.18174049,38.548641284,53138
True,True,10,15,4,2031,16,36.067002828,1.229033557,38.495459533,53040
True,True,10,15,5,2016,31,35.613153907,1.130261267,37.951070749,52800
True,True,10,15,6,2016,31,35.882328133,1.1839547320000001,38.290843576,52800
True,True,10,15,7,2016,31,36.788751682,1.201417328,39.158100997,52800
True,True,10,15,8,2016,31,36.183361804,1.158178066,38.585707065,52800
True,True,10,15,9,2016,31,36.046171006,1.173289537,38.447931194,52800
True,True,10,15,10,2016,31,35.674601997,1.174153849,38.042074231,52800
True,False,10,15,2,4095,0,72.460807385,1.49751e-4,72.463957212,114683
True,False,10,15,3,4095,0,81.123704672,1.50649e-4,81.126281791,114683
True,False,10,15,4,4095,0,73.343533205,2.03665e-4,73.351507355,114683
True,False,10,15,5,4095,0,72.215100125,1.50624e-4,72.219999107,114683
True,False,10,15,6,4095,0,72.848002178,2.02719e-4,72.851663345,114683
True,False,10,15,7,4095,0,77.287338221,2.01642e-4,77.291465043,114683
True,False,10,15,8,4095,0,74.23884006,2.80088e-4,74.243046404,114683
True,False,10,15,9,4095,0,73.430288148,1.47826e-4,73.433591314,114683
True,False,10,15,10,4095,0,72.431407203,3.36468e-4,72.436259436,114683
