Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,15,2,2,2,0.288426147,2.677802571,4.335329671,221164
False,True,20,15,3,2,6,0.279811588,2.627635881,4.273957453,221128
False,True,20,15,4,2,14,0.265248213,2.462427523,3.99342014,221040
False,True,20,15,5,2,30,0.247149692,2.42757437,3.913153588,220832
False,True,20,15,6,2,62,0.287471768,2.551825966,4.052638663,220352
False,True,20,15,7,2,62,0.250281399,2.4348382969999998,3.928849835,220352
False,True,20,15,8,2,62,0.325565566,3.068522073,4.888875567,220352
False,True,20,15,9,2,62,0.268184698,2.636158294,4.238070843,220352
False,True,20,15,10,2,62,0.440173045,2.5892080870000003,4.356644112,220352
False,False,20,15,2,4,0,0.24161653,1.56093e-4,0.250646806,221176
False,False,20,15,3,4,0,0.293964524,3.63849e-4,0.302565172,221176
False,False,20,15,4,4,0,0.26208672,2.66614e-4,0.274854662,221176
False,False,20,15,5,4,0,0.298111908,1.37544e-4,0.304707741,221176
False,False,20,15,6,4,0,0.265889675,1.38131e-4,0.27254681,221176
False,False,20,15,7,4,0,0.250053658,2.16974e-4,0.258151768,221176
False,False,20,15,8,4,0,0.262281682,1.37132e-4,0.272063463,221176
False,False,20,15,9,4,0,0.267510171,1.57708e-4,0.273380213,221176
False,False,20,15,10,4,0,0.243274139,1.4945e-4,0.261488366,221176
