Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,15,2,2,2,2.0801167e-2,2.5228637369999998,3.807457855,4332
False,True,10,15,3,2,6,3.9773523e-2,2.55748649,3.850148357,4296
False,True,10,15,4,2,14,3.3804851e-2,2.746395815,4.100856587,4208
False,True,10,15,5,2,30,2.5992441e-2,2.663597704,3.997827713,4000
False,True,10,15,6,2,62,3.3884498e-2,2.521915898,3.797286235,3520
False,True,10,15,7,2,62,3.7485759e-2,2.564235959,3.84771097,3520
True,True,10,15,8,192,62,3.696480894,2.450963636,7.355876322,3520
True,True,10,15,9,192,62,3.916197548,2.445754957,7.604866732,3520
True,True,10,15,10,192,62,4.000650138,3.040580114,8.683937588,3520
False,False,10,15,2,4,0,5.7733095e-2,9.2652e-5,5.863801e-2,4344
False,False,10,15,3,4,0,5.9208259e-2,8.2024e-5,5.9800168e-2,4344
False,False,10,15,4,4,0,6.0224523e-2,8.1464e-5,6.0883533e-2,4344
False,False,10,15,5,4,0,5.0429485e-2,9.5431e-5,5.320718e-2,4344
False,False,10,15,6,4,0,6.4357e-2,9.6983e-5,6.5973019e-2,4344
False,False,10,15,7,4,0,6.0595987e-2,9.7363e-5,7.7152814e-2,4344
True,False,10,15,8,254,0,5.008003778,1.57894e-4,5.01193923,4344
True,False,10,15,9,254,0,5.203780526,8.5136e-5,5.220545431,4344
True,False,10,15,10,254,0,5.453431938,8.7555e-5,5.454272123,4344
