Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,15,2,2,2,2.8969596e-2,2.659742123,4.015602554,4332
False,True,20,15,3,2,6,2.0699447e-2,2.426070897,3.696520521,4296
False,True,20,15,4,2,14,2.8885967e-2,2.52926454,3.780893374,4208
False,True,20,15,5,2,30,3.1506134e-2,2.413548983,3.70007345,4000
False,True,20,15,6,2,62,2.1979529e-2,2.543761679,3.858810545,3520
False,True,20,15,7,2,62,3.5963521e-2,2.482249233,3.805516217,3520
True,True,20,15,8,192,62,3.668552858,2.476174786,7.359934389,3520
True,True,20,15,9,192,62,3.966084469,2.518551646,7.694859112,3520
True,True,20,15,10,192,62,3.758342124,2.611820818,7.6959546119999995,3520
False,False,20,15,2,4,0,5.695274e-2,1.06314e-4,7.759393e-2,4344
False,False,20,15,3,4,0,5.6035422e-2,9.4657e-5,6.1145339e-2,4344
False,False,20,15,4,4,0,5.5172991e-2,9.0986e-5,5.5914855e-2,4344
False,False,20,15,5,4,0,6.1243837e-2,1.19751e-4,7.882975e-2,4344
False,False,20,15,6,4,0,7.5051427e-2,1.16404e-4,7.5872028e-2,4344
False,False,20,15,7,4,0,6.2410105e-2,8.6591e-5,7.157872e-2,4344
True,False,20,15,8,254,0,4.921900485,1.58693e-4,4.923418148,4344
True,False,20,15,9,254,0,4.832276703,8.275e-5,4.849744911,4344
True,False,20,15,10,254,0,4.883741015,8.638e-5,4.888718719,4344
