Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,5,2,2,2,0.194553037,7.4714144e-2,0.40450009,102380
False,True,10,5,3,2,2,0.151832329,6.4244577e-2,0.313312968,102380
False,True,10,5,4,2,2,0.140071631,7.4772624e-2,0.31599717,102380
False,True,10,5,5,2,2,0.14666099,6.1669677e-2,0.310213886,102380
False,True,10,5,6,2,2,0.173898399,6.4191462e-2,0.341837225,102380
False,True,10,5,7,2,2,0.14833404,7.2754477e-2,0.320241925,102380
False,True,10,5,8,2,2,0.152354139,6.1430478e-2,0.315546884,102380
False,True,10,5,9,2,2,0.191997161,6.5333835e-2,0.356330777,102380
False,True,10,5,10,2,2,0.151013002,6.0436589e-2,0.315990651,102380
False,False,10,5,2,4,0,0.267978703,1.48658e-4,0.279443593,221176
False,False,10,5,3,4,0,0.277010245,1.54636e-4,0.284605244,221176
False,False,10,5,4,4,0,0.36730254,1.39561e-4,0.374600097,221176
False,False,10,5,5,4,0,0.330672716,2.893e-4,0.3513862,221176
False,False,10,5,6,4,0,0.423972756,1.44922e-4,0.430781963,221176
False,False,10,5,7,4,0,0.416820334,2.74199e-4,0.425171045,221176
False,False,10,5,8,4,0,0.368818338,1.98253e-4,0.375427552,221176
False,False,10,5,9,4,0,0.293315343,1.41411e-4,0.301703638,221176
False,False,10,5,10,4,0,0.397744769,1.53045e-4,0.40958196,221176
