Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,5,2,2,2,0.303849032,6.089971e-2,0.489447968,221164
False,True,20,5,3,2,2,0.266905444,7.1494045e-2,0.471801607,221164
False,True,20,5,4,2,2,0.237488597,6.8923155e-2,0.425809514,221164
False,True,20,5,5,2,2,0.310371477,6.4314663e-2,0.514052126,221164
False,True,20,5,6,2,2,0.290282183,7.210912e-2,0.480178207,221164
False,True,20,5,7,2,2,0.283859287,6.7360969e-2,0.477585552,221164
False,True,20,5,8,2,2,0.27744376,6.9838637e-2,0.451038939,221164
False,True,20,5,9,2,2,0.238863646,6.0510865e-2,0.426501812,221164
False,True,20,5,10,2,2,0.272434615,6.1400631e-2,0.438696845,221164
False,False,20,5,2,4,0,0.318043711,1.47322e-4,0.325278669,221176
False,False,20,5,3,4,0,0.241299945,1.35604e-4,0.247498783,221176
False,False,20,5,4,4,0,0.257611827,2.61829e-4,0.265365839,221176
False,False,20,5,5,4,0,0.337212764,1.93827e-4,0.346897654,221176
False,False,20,5,6,4,0,0.347663068,1.4301e-4,0.359223805,221176
False,False,20,5,7,4,0,0.291256984,2.86345e-4,0.306610634,221176
False,False,20,5,8,4,0,0.261023414,1.43237e-4,0.268856647,221176
False,False,20,5,9,4,0,0.275626004,2.25267e-4,0.292173329,221176
False,False,20,5,10,4,0,0.307950354,1.47057e-4,0.317987511,221176
