Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,10,2,2,2,3.1748625e-2,0.556426961,1.160887955,4332
False,True,20,10,3,2,6,2.7379917e-2,0.537209104,1.132907218,4296
False,True,20,10,4,2,14,2.8109224e-2,0.479183583,1.098045456,4208
False,True,20,10,5,2,14,3.0008162e-2,0.586867453,1.198584426,4208
False,True,20,10,6,2,14,1.9959655e-2,0.487328625,1.105716568,4208
False,True,20,10,7,2,14,3.0826906e-2,0.5095586,1.1413487230000001,4208
True,True,20,10,8,240,14,4.671268887,0.485731585,5.780631969,4208
True,True,20,10,9,240,14,4.8187953740000005,0.507216769,5.903331632,4208
True,True,20,10,10,240,14,5.977139649,0.526822313,7.130189065,4208
False,False,20,10,2,4,0,5.9647939e-2,8.783e-5,6.4434238e-2,4344
False,False,20,10,3,4,0,6.0213997e-2,8.133e-5,6.0794034e-2,4344
False,False,20,10,4,4,0,5.4531721e-2,8.1728e-5,7.2570572e-2,4344
False,False,20,10,5,4,0,6.1449196e-2,1.0172e-4,6.2715185e-2,4344
False,False,20,10,6,4,0,5.9415036e-2,1.05241e-4,6.0403971e-2,4344
False,False,20,10,7,4,0,6.4213681e-2,9.8007e-5,7.3340339e-2,4344
True,False,20,10,8,254,0,4.661868689,1.1527e-4,4.662961941,4344
True,False,20,10,9,254,0,4.874700994,9.6387e-5,4.8859427570000005,4344
True,False,20,10,10,254,0,4.89239614,8.3474e-5,4.906548887,4344
