Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,5,2,2,2,4.3516001e-2,5.8313588e-2,0.218110173,4332
False,True,10,5,3,2,2,2.9851184e-2,6.3839451e-2,0.190107561,4332
False,True,10,5,4,2,2,4.2278e-2,7.7075095e-2,0.240148608,4332
False,True,10,5,5,2,2,5.649375e-2,6.5348898e-2,0.243116561,4332
False,True,10,5,6,2,2,3.5078568e-2,6.5710062e-2,0.218977133,4332
False,True,10,5,7,2,2,3.3055213e-2,6.6033973e-2,0.199805865,4332
True,True,10,5,8,252,2,5.296827736,6.3165385e-2,5.473883857,4332
True,True,10,5,9,252,2,5.237563785,7.8754895e-2,5.42125337,4332
True,True,10,5,10,252,2,5.063484593,6.2834935e-2,5.231022935,4332
False,False,10,5,2,4,0,6.7715132e-2,8.1405e-5,7.4263513e-2,4344
False,False,10,5,3,4,0,5.4953068e-2,8.9113e-5,6.6618876e-2,4344
False,False,10,5,4,4,0,5.4823349e-2,1.26786e-4,5.5907485e-2,4344
False,False,10,5,5,4,0,6.0346958e-2,8.1785e-5,6.0949457e-2,4344
False,False,10,5,6,4,0,5.969821e-2,8.0684e-5,7.5386622e-2,4344
False,False,10,5,7,4,0,5.8250456e-2,8.182e-5,5.927829e-2,4344
True,False,10,5,8,254,0,5.302460742,9.9053e-5,5.303379921,4344
True,False,10,5,9,254,0,4.84685624,8.2036e-5,4.858284224,4344
True,False,10,5,10,254,0,5.066822146,8.5686e-5,5.080536384,4344
