Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,15,2,2,2,0.129828958,4.305651264,6.706773985,102380
False,True,10,15,3,2,6,0.347187174,3.766796718,5.754456891,102344
False,True,10,15,4,2,14,0.382212125,4.591150547,6.986596533,102256
False,True,10,15,5,2,30,0.144125891,2.833822729,4.743391392,102048
False,True,10,15,6,2,62,0.161484398,3.008374943,4.531608586,101568
False,True,10,15,7,2,62,0.185259941,2.8004237290000003,4.407152121,101568
False,True,10,15,8,2,62,0.140573927,2.5177114339999997,3.909335813,101568
False,True,10,15,9,2,62,0.144479659,2.588646289,4.151734751,101568
False,True,10,15,10,2,62,0.165712348,2.8835746330000003,4.521667634,101568
False,False,10,15,2,4,0,0.243274289,1.36351e-4,0.249124345,221176
False,False,10,15,3,4,0,0.307432397,2.1502e-4,0.315622543,221176
False,False,10,15,4,4,0,0.301952963,1.38605e-4,0.314093403,221176
False,False,10,15,5,4,0,0.340860225,1.99682e-4,0.352473073,221176
False,False,10,15,6,4,0,0.310009363,1.61247e-4,0.316378363,221176
False,False,10,15,7,4,0,0.278181031,1.40308e-4,0.290199777,221176
False,False,10,15,8,4,0,0.258716498,2.86098e-4,0.271057848,221176
False,False,10,15,9,4,0,0.243613276,1.71115e-4,0.253230156,221176
False,False,10,15,10,4,0,0.24410075,1.6254e-4,0.251439417,221176
