Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,5,2,2,2,4.2068263e-2,7.1735131e-2,0.228354099,4332
False,True,20,5,3,2,2,8.3839383e-2,8.8217217e-2,0.351084075,4332
False,True,20,5,4,2,2,4.0213823e-2,0.149346449,0.352337805,4332
False,True,20,5,5,2,2,3.8338522e-2,6.7970056e-2,0.235259082,4332
False,True,20,5,6,2,2,3.1627496e-2,7.7625177e-2,0.220604536,4332
False,True,20,5,7,2,2,4.2023991e-2,6.5456409e-2,0.220558755,4332
True,True,20,5,8,252,2,5.611775355,6.4363383e-2,5.793443664,4332
True,True,20,5,9,252,2,5.748273117,8.6154957e-2,5.959109809,4332
True,True,20,5,10,252,2,6.025085464,6.5884417e-2,6.21875113,4332
False,False,20,5,2,4,0,9.781006e-2,1.8999e-4,0.117411887,4344
False,False,20,5,3,4,0,0.14745857,1.57274e-4,0.148666909,4344
False,False,20,5,4,4,0,9.030323e-2,9.4666e-5,9.7092513e-2,4344
False,False,20,5,5,4,0,6.8113488e-2,8.7236e-5,6.9042321e-2,4344
False,False,20,5,6,4,0,7.0185504e-2,9.5256e-5,7.708631e-2,4344
False,False,20,5,7,4,0,7.3303692e-2,1.15877e-4,7.4514277e-2,4344
True,False,20,5,8,254,0,5.145076756,1.39328e-4,5.146541036,4344
True,False,20,5,9,254,0,4.852147609,1.02159e-4,4.876146862,4344
True,False,20,5,10,254,0,4.982347491,8.9432e-5,5.001459449,4344
