Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,10,2,2,2,3.5075443e-2,0.578333823,1.276601981,4332
False,True,10,10,3,2,6,6.4863872e-2,0.61009388,1.444516991,4296
False,True,10,10,4,2,14,0.102140058,0.761409591,1.803172258,4208
False,True,10,10,5,2,14,4.0022433e-2,0.612466729,1.374258901,4208
False,True,10,10,6,2,14,3.8110864e-2,0.54091281,1.207808365,4208
False,True,10,10,7,2,14,3.2678768e-2,0.534136146,1.188893386,4208
True,True,10,10,8,240,14,4.48475999,0.577622093,5.740053206,4208
True,True,10,10,9,240,14,4.780783768,0.516414105,5.8935204599999995,4208
True,True,10,10,10,240,14,4.654046501,0.520815662,5.735056826,4208
False,False,10,10,2,4,0,5.804744e-2,8.6094e-5,5.9393341e-2,4344
False,False,10,10,3,4,0,5.6374034e-2,9.8294e-5,5.7525893e-2,4344
False,False,10,10,4,4,0,5.5366489e-2,8.3814e-5,7.1791955e-2,4344
False,False,10,10,5,4,0,5.6539282e-2,8.6805e-5,6.3403139e-2,4344
False,False,10,10,6,4,0,5.6315703e-2,8.2112e-5,5.7258508e-2,4344
False,False,10,10,7,4,0,6.0111539e-2,8.1814e-5,7.5970451e-2,4344
True,False,10,10,8,254,0,4.749783759,9.3246e-5,4.75050504,4344
True,False,10,10,9,254,0,5.406806563,9.8533e-5,5.414210632,4344
True,False,10,10,10,254,0,5.019635268,8.2174e-5,5.025659955,4344
