Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,10,2,2,2,0.140082284,0.553913752,1.277102567,102380
False,True,10,10,3,2,6,0.13721389,0.491173413,1.221063924,102344
False,True,10,10,4,2,14,0.145665913,0.503632821,1.243544343,102256
False,True,10,10,5,2,14,0.141031244,0.513533069,1.226879187,102256
False,True,10,10,6,2,14,0.163678769,0.525718979,1.24077041,102256
False,True,10,10,7,2,14,0.136609455,0.538416795,1.306489687,102256
False,True,10,10,8,2,14,0.133750394,0.532487135,1.270152037,102256
False,True,10,10,9,2,14,0.132174936,0.532885319,1.222881974,102256
False,True,10,10,10,2,14,0.128872682,0.493914659,1.20771371,102256
False,False,10,10,2,4,0,0.259359681,1.35718e-4,0.265197258,221176
False,False,10,10,3,4,0,0.294355163,1.40715e-4,0.301897793,221176
False,False,10,10,4,4,0,0.260824861,1.36625e-4,0.266524438,221176
False,False,10,10,5,4,0,0.238267172,1.4711e-4,0.24591805,221176
False,False,10,10,6,4,0,0.257103091,1.47657e-4,0.269214806,221176
False,False,10,10,7,4,0,0.241734579,1.67733e-4,0.249216586,221176
False,False,10,10,8,4,0,0.263838568,1.52109e-4,0.27922378,221176
False,False,10,10,9,4,0,0.300186028,1.379e-4,0.30608922,221176
False,False,10,10,10,4,0,0.239161779,2.01071e-4,0.251791801,221176
