Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,5,2,171,5,2.239008151,9.4611762e-2,2.338479024,6446
False,True,20,5,3,423,5,5.249566507,9.3319011e-2,5.349733272,14506
False,True,20,5,4,413,5,5.108610882,9.5635834e-2,5.210743691,14506
False,True,20,5,5,404,5,4.964247143,9.4066569e-2,5.064961792,14506
False,True,20,5,6,396,5,4.856457996,9.4727537e-2,4.958022972,14506
False,True,20,5,7,389,5,4.732213548,9.3290662e-2,4.832000463,14506
False,True,20,5,8,467,5,5.6949232,9.4030094e-2,5.795676386,14506
False,True,20,5,9,466,5,5.668777436,9.4211859e-2,5.769374617,14506
False,True,20,5,10,465,5,6.305767925,9.6601258e-2,6.409281865,14506
False,False,20,5,2,13,0,0.173732718,1.96172e-4,0.203363127,66633
False,False,20,5,3,12,0,0.164409313,2.04092e-4,0.196605572,66633
False,False,20,5,4,149,0,1.927106031,1.52573e-4,1.9515877339999999,66633
False,False,20,5,5,148,0,1.944633141,1.44444e-4,1.96532296,66633
False,False,20,5,6,147,0,1.8186890629999999,1.48871e-4,1.840586968,66633
False,False,20,5,7,671,0,8.131354216,1.4861e-4,8.1533054,66633
False,False,20,5,8,670,0,8.080384071,1.5253e-4,8.107124492,66633
False,False,20,5,9,669,0,8.079466977,1.52353e-4,8.101195985,66633
False,False,20,5,10,1444,0,17.263831218,1.76811e-4,17.284675828,66633
