Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,10,2,3,8,2.5628591e-2,0.180634746,0.209284559,36
False,True,20,10,3,3,8,2.5927397e-2,0.17390342,0.203445795,37
False,True,20,10,4,3,8,2.5288248e-2,0.222956759,0.25127296,38
False,True,20,10,5,3,8,2.6142537e-2,0.174213275,0.203579905,38
False,True,20,10,6,2,9,1.3889333e-2,0.205509838,0.222314281,18
False,True,20,10,7,2,10,1.3205521e-2,0.191377914,0.20755103,19
False,True,20,10,8,2,10,1.362891e-2,0.231229295,0.247836286,20
True,True,20,10,9,1,10,1.2171077e-2,0.191252843,0.206557536,20
True,True,20,10,10,1,10,1.0256046e-2,0.235830537,0.249153624,20
False,False,20,10,2,5,0,4.7760661e-2,5.9145e-5,5.1837808e-2,1137
False,False,20,10,3,26,0,0.270936052,5.7352e-5,0.275123167,1137
False,False,20,10,4,25,0,0.266058221,5.7802e-5,0.269604715,1137
False,False,20,10,5,24,0,0.250871147,5.7418e-5,0.254409129,1137
False,False,20,10,6,54,0,0.599174506,5.7237e-5,0.602754944,1137
False,False,20,10,7,53,0,0.563133061,6.0549e-5,0.566879222,1137
False,False,20,10,8,52,0,0.563548941,6.9624e-5,0.583036503,1137
True,False,20,10,9,59,0,0.623070512,5.7326e-5,0.626594553,1137
True,False,20,10,10,59,0,0.633871402,7.7792e-5,0.638014662,1137
