Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,10,2,42,8,0.568058246,0.177276821,0.749562123,1973
False,True,20,10,3,62,8,0.81720473,0.187263294,1.008426783,1974
False,True,20,10,4,60,8,0.793679419,0.186683487,0.984015078,1975
False,True,20,10,5,65,8,0.84972635,0.173972559,1.044058882,2163
False,True,20,10,6,42,9,0.558786633,0.173035319,0.735395287,1467
False,True,20,10,7,27,10,0.357551482,0.192446924,0.553354634,1033
False,True,20,10,8,82,10,1.050215582,0.208372328,1.262871822,2423
False,True,20,10,9,81,10,1.014649456,0.201160339,1.243809524,2423
False,True,20,10,10,80,10,1.004044555,0.201379606,1.209109167,2423
False,False,20,10,2,13,0,0.166286667,1.59315e-4,0.190517933,66633
False,False,20,10,3,12,0,0.143807336,1.78568e-4,0.176205097,66633
False,False,20,10,4,149,0,1.852234358,1.58153e-4,1.875699203,66633
False,False,20,10,5,148,0,1.836628314,1.53385e-4,1.85987913,66633
False,False,20,10,6,147,0,1.841395171,1.56189e-4,1.864720711,66633
False,False,20,10,7,671,0,8.318760941,1.53468e-4,8.343675068,66633
False,False,20,10,8,670,0,7.97182993,1.35997e-4,7.993009622,66633
False,False,20,10,9,669,0,7.960431338,1.47195e-4,7.983289319,66633
False,False,20,10,10,1444,0,17.003014926,2.20731e-4,17.024975898,66633
