Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,5,2,7,5,6.8744508e-2,9.3077976e-2,0.164748996,117
False,True,20,5,3,13,5,0.125042336,9.4014705e-2,0.222755809,230
False,True,20,5,4,12,5,0.11363298,9.3448535e-2,0.210201472,230
False,True,20,5,5,11,5,0.104563923,9.2186087e-2,0.199806246,230
False,True,20,5,6,10,5,9.2438584e-2,9.1503197e-2,0.187490185,230
False,True,20,5,7,9,5,0.195308246,9.693656e-2,0.295294778,230
False,True,20,5,8,8,5,7.4785072e-2,9.6590154e-2,0.175004775,230
True,True,20,5,9,12,5,0.120189265,9.2864961e-2,0.216255185,230
True,True,20,5,10,12,5,0.11929412,9.4456493e-2,0.216981384,230
False,False,20,5,2,5,0,4.6091382e-2,7.1695e-5,4.9720259e-2,1137
False,False,20,5,3,26,0,0.253339888,5.7619e-5,0.333075095,1137
False,False,20,5,4,25,0,0.243958574,5.7133e-5,0.247427505,1137
False,False,20,5,5,24,0,0.306937273,5.7209e-5,0.310444646,1137
False,False,20,5,6,54,0,0.547821726,5.8661e-5,0.551269918,1137
False,False,20,5,7,53,0,0.587724668,6.2578e-5,0.591440789,1137
False,False,20,5,8,52,0,0.592042098,5.6173e-5,0.595508817,1137
True,False,20,5,9,59,0,0.618596654,5.6908e-5,0.661807574,1137
True,False,20,5,10,59,0,0.586840059,6.4206e-5,0.590839496,1137
