Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,10,2,42,8,0.563240105,0.18155635,0.750416624,1880
False,True,10,10,3,60,8,0.782888251,0.17629788,0.963865991,1911
False,True,10,10,4,59,8,0.773187226,0.176654962,0.954688425,1943
False,True,10,10,5,65,8,0.863833011,0.173810263,1.043245436,2163
False,True,10,10,6,42,9,0.570641303,0.17185304,0.747110392,1467
False,True,10,10,7,27,10,0.371937756,0.190852997,0.567279404,1033
False,True,10,10,8,43,10,0.546464544,0.192866632,0.74406319,1269
False,True,10,10,9,42,10,0.53661753,0.194840571,0.73595866,1269
True,True,10,10,10,42,10,0.534827944,0.193288207,0.732712797,1269
False,False,10,10,2,13,0,0.155363136,1.49149e-4,0.176311392,66633
False,False,10,10,3,12,0,0.149212111,1.49785e-4,0.170313076,66633
False,False,10,10,4,149,0,1.830545403,1.61522e-4,1.854300775,66633
False,False,10,10,5,148,0,1.806387205,1.50786e-4,1.831437894,66633
False,False,10,10,6,147,0,1.8069710730000001,1.78523e-4,1.834945735,66633
False,False,10,10,7,671,0,8.133550091,2.10977e-4,8.157435128,66633
False,False,10,10,8,670,0,8.127386908,1.86659e-4,8.153631084,66633
False,False,10,10,9,669,0,8.152897415,1.92382e-4,8.177205792,66633
False,False,10,10,10,1444,0,17.353251381,1.72495e-4,17.376840596,66633
