Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,5,2,171,5,2.5157326859999998,9.9858677e-2,2.621109085,6353
False,True,10,5,3,402,5,5.000868579,9.3753914e-2,5.101161128,13257
False,True,10,5,4,394,5,4.950507696,9.2674447e-2,5.049678763,13257
False,True,10,5,5,386,5,4.72138045,0.10999967,4.837359618,13257
False,True,10,5,6,378,5,4.616509377,9.9172143e-2,4.722198967,13257
False,True,10,5,7,371,5,4.53056202,9.4161243e-2,4.630837958,13257
False,True,10,5,8,425,5,5.132245638,9.4738348e-2,5.239777207,13257
False,True,10,5,9,424,5,5.088316133,9.4473229e-2,5.189013202,13257
True,True,10,5,10,429,5,5.145940152,9.7350926e-2,5.250536845,13257
False,False,10,5,2,13,0,0.141977031,1.49192e-4,0.163771792,66633
False,False,10,5,3,12,0,0.137518603,1.54812e-4,0.158295494,66633
False,False,10,5,4,149,0,1.830835394,1.52769e-4,1.854482033,66633
False,False,10,5,5,148,0,1.813321049,1.47803e-4,1.834214089,66633
False,False,10,5,6,147,0,1.7829677309999998,1.42063e-4,1.803033239,66633
False,False,10,5,7,671,0,8.141286537,1.57901e-4,8.162324675,66633
False,False,10,5,8,670,0,8.103267034,1.49037e-4,8.12347527,66633
False,False,10,5,9,669,0,8.072421779,1.56048e-4,8.093261595,66633
False,False,10,5,10,1444,0,17.278394871,2.00177e-4,17.298456694,66633
