Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,15,2,3,9,2.4976164e-2,0.220967444,0.248862153,36
False,True,20,15,3,2,11,1.2386918e-2,0.235292384,0.250532661,15
False,True,20,15,4,2,12,1.3378505e-2,0.261730852,0.278031334,16
False,True,20,15,5,2,12,1.3527219e-2,0.256915608,0.273350903,17
False,True,20,15,6,2,12,1.3222686e-2,0.261666921,0.278171211,18
False,True,20,15,7,2,12,1.3085828e-2,0.258122748,0.274152228,19
False,True,20,15,8,2,12,1.3429773e-2,0.265789084,0.282259619,20
True,True,20,15,9,0,12,7.544e-6,0.436420197,0.439777352,0
True,True,20,15,10,0,13,3.737e-6,0.257429503,0.260451253,0
False,False,20,15,2,5,0,4.515641e-2,8.2196e-5,4.8983405e-2,1137
False,False,20,15,3,26,0,0.2516302,5.2033e-5,0.255063821,1137
False,False,20,15,4,25,0,0.249085053,5.2055e-5,0.252984636,1137
False,False,20,15,5,24,0,0.233352496,7.7108e-5,0.23733769,1137
False,False,20,15,6,54,0,0.525118729,9.9561e-5,0.52889177,1137
False,False,20,15,7,53,0,0.614026467,5.3528e-5,0.617412516,1137
False,False,20,15,8,52,0,0.506559291,5.2208e-5,0.510033698,1137
True,False,20,15,9,59,0,0.685212332,5.9017e-5,0.688920583,1137
True,False,20,15,10,59,0,0.581604996,5.52e-5,0.586323644,1137
