Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,15,2,8,11,9.3014468e-2,0.265285244,0.361617703,293
False,True,20,15,3,10,11,0.115586192,0.261105992,0.380396195,293
False,True,20,15,4,6,13,6.620385e-2,0.282426516,0.351739347,171
False,True,20,15,5,10,13,0.112863815,0.342025193,0.529479531,323
False,True,20,15,6,8,13,9.0811937e-2,0.279527902,0.373472639,324
False,True,20,15,7,6,13,0.151950189,0.279160035,0.434741389,325
False,True,20,15,8,12,13,0.131838662,0.279195823,0.415293142,326
False,True,20,15,9,12,13,0.220149899,0.278140332,0.501444155,327
False,True,20,15,10,13,13,0.147484411,0.278444262,0.43072421,358
False,False,20,15,2,13,0,0.197372031,1.40573e-4,0.218879182,66633
False,False,20,15,3,12,0,0.132053,1.37986e-4,0.154280188,66633
False,False,20,15,4,149,0,1.781677979,1.93392e-4,1.8028764430000002,66633
False,False,20,15,5,148,0,1.779996828,1.46225e-4,1.8021288229999999,66633
False,False,20,15,6,147,0,1.779417947,1.39893e-4,1.799623456,66633
False,False,20,15,7,671,0,7.96843282,1.46463e-4,7.989378635,66633
False,False,20,15,8,670,0,7.992148501,1.54753e-4,8.014418647,66633
False,False,20,15,9,669,0,7.925850149,1.42786e-4,7.992324214,66633
False,False,20,15,10,1444,0,17.17420615,1.38303e-4,17.194258865,66633
