Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,10,2,3,8,2.5864556e-2,0.181672388,0.21050851,36
False,True,10,10,3,3,8,2.5887166e-2,0.181246106,0.210777444,37
False,True,10,10,4,3,8,2.9495371e-2,0.17427389,0.206750217,38
False,True,10,10,5,3,8,2.481385e-2,0.181709391,0.210916492,38
False,True,10,10,6,2,9,1.3529216e-2,0.168918472,0.186127072,18
False,True,10,10,7,2,10,1.6158835e-2,0.295866498,0.315244375,19
False,True,10,10,8,2,10,1.8632013e-2,0.197673818,0.21964518,20
True,True,10,10,9,1,10,1.1043343e-2,0.19890905,0.213061788,20
True,True,10,10,10,1,10,1.4932979e-2,0.191058271,0.209618304,20
False,False,10,10,2,5,0,0.130826253,5.7737e-5,0.134370117,1137
False,False,10,10,3,26,0,0.258795088,6.1033e-5,0.262837741,1137
False,False,10,10,4,25,0,0.278256759,9.2677e-5,0.282725367,1137
False,False,10,10,5,24,0,0.240025351,5.7899e-5,0.243517067,1137
False,False,10,10,6,54,0,0.587111619,1.03857e-4,0.5911573,1137
False,False,10,10,7,53,0,0.572518249,5.8063e-5,0.576431727,1137
False,False,10,10,8,52,0,0.559809934,5.5259e-5,0.563192351,1137
True,False,10,10,9,59,0,0.623519745,5.6866e-5,0.627031274,1137
True,False,10,10,10,59,0,0.630089576,5.9645e-5,0.6344364,1137
