Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,5,2,7,5,7.5825486e-2,0.203990113,0.283792406,117
False,True,10,5,3,13,5,0.140158425,0.104851005,0.247985707,230
False,True,10,5,4,12,5,0.126225013,0.105600042,0.23491856,230
False,True,10,5,5,11,5,0.114819749,0.104301956,0.222430227,230
False,True,10,5,6,10,5,0.101718977,0.104610831,0.209956721,230
False,True,10,5,7,9,5,9.1728787e-2,0.105267592,0.200601108,230
False,True,10,5,8,8,5,8.1374136e-2,0.104393076,0.189366993,230
True,True,10,5,9,12,5,0.121406413,0.148770765,0.365499921,230
True,True,10,5,10,12,5,0.119748119,9.9444632e-2,0.222862719,230
False,False,10,5,2,5,0,4.6826167e-2,5.662e-5,5.0264241e-2,1137
False,False,10,5,3,26,0,0.252812188,5.7307e-5,0.256237035,1137
False,False,10,5,4,25,0,0.33706939,5.7223e-5,0.340492415,1137
False,False,10,5,5,24,0,0.257978025,6.188e-5,0.262405486,1137
False,False,10,5,6,54,0,0.607017049,8.4736e-5,0.611773099,1137
False,False,10,5,7,53,0,0.684768071,5.9097e-5,0.688282871,1137
False,False,10,5,8,52,0,0.576291347,5.697e-5,0.579865294,1137
True,False,10,5,9,59,0,0.791255976,9.8933e-5,0.796221511,1137
True,False,10,5,10,59,0,0.769553026,5.8128e-5,0.773648824,1137
